subj,scenario,trial,violation.type,possibility.judgment,sex,age,ethnicity,ethnicityText,education,ses
269,8,3,4,7,F,20,5,,4,5
270,1,3,1,6,M,35,1,,2,6
270,2,2,2,7,M,35,1,,2,6
270,3,7,1,6,M,35,1,,2,6
270,4,4,2,7,M,35,1,,2,6
270,5,5,1,6,M,35,1,,2,6
270,6,1,2,7,M,35,1,,2,6
270,7,6,2,7,M,35,1,,2,6
270,8,8,3,7,M,35,1,,2,6
271,1,6,4,7,M,55,5,,3,7
271,2,1,2,7,M,55,5,,3,7
271,3,2,4,7,M,55,5,,3,7
271,4,5,1,6,M,55,5,,3,7
271,5,3,3,7,M,55,5,,3,7
271,6,7,3,7,M,55,5,,3,7
271,7,8,1,6,M,55,5,,3,7
271,8,4,2,7,M,55,5,,3,7
272,1,4,1,6,M,21,2,,4,6
272,2,2,3,7,M,21,2,,4,6
272,3,8,4,7,M,21,2,,4,6
272,4,7,3,7,M,21,2,,4,6
272,5,6,4,7,M,21,2,,4,6
272,6,3,3,7,M,21,2,,4,6
272,7,5,1,6,M,21,2,,4,6
272,8,1,2,7,M,21,2,,4,6
273,1,7,4,7,F,25,5,,4,9
273,2,5,2,7,F,25,5,,4,9
273,3,2,1,6,F,25,5,,4,9
273,4,6,2,7,F,25,5,,4,9
273,5,8,3,7,F,25,5,,4,9
273,6,4,2,7,F,25,5,,4,9
273,7,1,3,7,F,25,5,,4,9
273,8,3,3,7,F,25,5,,4,9
274,1,1,3,7,M,23,5,,2,7
274,2,6,4,7,M,23,5,,2,7
274,3,7,3,7,M,23,5,,2,7
274,4,4,1,6,M,23,5,,2,7
274,5,5,3,7,M,23,5,,2,7
274,6,2,2,7,M,23,5,,2,7
274,7,3,2,7,M,23,5,,2,7
274,8,8,4,7,M,23,5,,2,7
275,1,4,1,6,M,29,5,,5,5
275,2,1,3,7,M,29,5,,5,5
275,3,2,1,6,M,29,5,,5,5
275,4,8,2,7,M,29,5,,5,5
275,5,6,4,7,M,29,5,,5,5
275,6,7,3,7,M,29,5,,5,5
275,7,5,2,7,M,29,5,,5,5
275,8,3,2,7,M,29,5,,5,5
276,1,8,2,7,F,61,5,,4,8
276,2,2,2,7,F,61,5,,4,8
276,3,3,2,7,F,61,5,,4,8
276,4,4,1,6,F,61,5,,4,8
276,5,5,1,6,F,61,5,,4,8
276,6,7,3,7,F,61,5,,4,8
276,7,1,2,7,F,61,5,,4,8
276,8,6,1,6,F,61,5,,4,8
277,1,6,2,7,F,34,5,,4,8
277,2,2,1,6,F,34,5,,4,8
277,3,7,1,6,F,34,5,,4,8
277,4,4,4,7,F,34,5,,4,8
277,5,5,1,6,F,34,5,,4,8
277,6,3,4,7,F,34,5,,4,8
277,7,8,3,7,F,34,5,,4,8
277,8,1,1,6,F,34,5,,4,8
278,1,5,3,7,M,22,2,,4,6
278,2,4,1,6,M,22,2,,4,6
278,3,6,4,7,M,22,2,,4,6
278,4,7,4,7,M,22,2,,4,6
278,5,8,1,6,M,22,2,,4,6
278,6,1,2,7,M,22,2,,4,6
278,7,3,4,7,M,22,2,,4,6
278,8,2,4,7,M,22,2,,4,6
279,1,6,2,7,M,31,5,,2,8
279,2,3,3,7,M,31,5,,2,8
279,3,8,1,6,M,31,5,,2,8
279,4,4,2,7,M,31,5,,2,8
279,5,2,3,7,M,31,5,,2,8
279,6,5,2,7,M,31,5,,2,8
279,7,1,1,6,M,31,5,,2,8
279,8,7,3,7,M,31,5,,2,8
